Field Number,Crop Type,Planting Date,Harvest Date,Estimated Yield (bu/acre)
1,Corn,2022-09-14,2023-09-07,174.32
2,Corn,2023-01-02,2023-06-21,299.41
3,Corn,2022-11-01,2023-08-21,180.7
4,Soybean,2023-01-31,2023-09-03,263.2
5,Soybean,2022-12-10,2023-07-10,185.99
6,Soybean,2022-11-27,2023-04-29,193.65
7,Soybean,2023-02-09,2023-04-09,167.65
8,Soybean,2022-10-30,2023-04-09,197.26
9,Soybean,2023-01-07,2023-09-11,213.97
10,Soybean,2022-10-18,2023-08-25,183.66
11,Soybean,2022-11-19,2023-07-07,179.7
12,Corn,2022-12-29,2023-07-25,287.23
13,Soybean,2023-01-20,2023-05-13,284.23
14,Soybean,2022-09-14,2023-03-20,271.83
15,Soybean,2022-09-18,2023-05-28,152.08
16,Corn,2022-11-04,2023-04-11,152.52
17,Soybean,2022-11-23,2023-08-19,192.46
18,Corn,2022-12-03,2023-05-02,297.97
19,Soybean,2022-09-20,2023-07-08,276.0
20,Soybean,2023-02-28,2023-05-17,152.02
21,Corn,2023-01-06,2023-06-29,245.19
22,Soybean,2023-02-04,2023-05-17,212.5
23,Soybean,2022-10-26,2023-04-19,188.18
24,Corn,2022-10-02,2023-07-07,226.79
25,Soybean,2022-11-02,2023-04-07,206.16
26,Corn,2022-11-25,2023-09-06,188.67
27,Soybean,2022-11-09,2023-06-06,245.14
28,Corn,2022-11-10,2023-03-16,185.4
29,Soybean,2022-11-24,2023-04-07,152.53
30,Soybean,2022-11-09,2023-09-10,164.35
31,Corn,2022-10-17,2023-05-17,206.99
32,Corn,2022-11-20,2023-04-17,216.22
33,Corn,2022-11-03,2023-04-28,261.46
34,Corn,2023-01-27,2023-05-12,216.06
35,Corn,2022-10-27,2023-05-23,210.35
36,Soybean,2022-11-13,2023-08-09,180.03
37,Corn,2022-09-15,2023-07-03,155.66
38,Corn,2023-03-13,2023-08-09,289.93
39,Soybean,2022-11-19,2023-05-02,180.62
40,Soybean,2022-12-07,2023-08-03,167.73
41,Corn,2022-11-27,2023-07-20,248.22
42,Soybean,2022-11-19,2023-06-21,216.82
43,Corn,2023-01-29,2023-07-23,162.87
44,Corn,2023-02-20,2023-05-20,263.88
45,Soybean,2022-11-27,2023-07-04,170.17
46,Soybean,2022-10-12,2023-09-09,262.02
47,Soybean,2022-09-14,2023-05-16,233.81
48,Corn,2022-11-08,2023-08-20,277.46
49,Corn,2022-11-12,2023-07-08,221.14
50,Soybean,2023-01-04,2023-04-19,177.39
